region	chr	midPos	Nsites
(98,597)(100,599)(100,600)	Mt	350	501	0.028253
(198,697)(200,699)(200,700)	Mt	450	501	0.031717
(298,797)(300,799)(300,800)	Mt	550	501	0.030687
(398,897)(400,899)(400,900)	Mt	650	501	0.027948
(498,997)(500,999)(500,1000)	Mt	750	501	0.028419
(598,1097)(600,1099)(600,1100)	Mt	850	501	0.029557
(698,1197)(700,1199)(700,1200)	Mt	950	501	0.028505
(798,1297)(800,1299)(800,1300)	Mt	1050	501	0.026120
(898,1397)(900,1399)(900,1400)	Mt	1150	501	0.029554
(998,1497)(1000,1499)(1000,1500)	Mt	1250	501	0.029344
(1098,1597)(1100,1599)(1100,1600)	Mt	1350	501	0.028642
(1198,1697)(1200,1699)(1200,1700)	Mt	1450	501	0.027005
(1298,1797)(1300,1799)(1300,1800)	Mt	1550	501	0.027070
(1398,1897)(1400,1899)(1400,1900)	Mt	1650	501	0.023890
(1498,1997)(1500,1999)(1500,2000)	Mt	1750	501	0.023193
(1598,2097)(1600,2099)(1600,2100)	Mt	1850	501	0.020386
(1698,2197)(1700,2199)(1700,2200)	Mt	1950	501	0.021232
(1798,2297)(1800,2299)(1800,2300)	Mt	2050	501	0.023932
(1898,2397)(1900,2399)(1900,2400)	Mt	2150	501	0.024416
(1998,2497)(2000,2499)(2000,2500)	Mt	2250	501	0.024313
(2098,2597)(2100,2599)(2100,2600)	Mt	2350	501	0.044699
(2198,2697)(2200,2699)(2200,2700)	Mt	2450	501	0.058484
(2298,2797)(2300,2799)(2300,2800)	Mt	2550	501	0.056750
(2398,2897)(2400,2899)(2400,2900)	Mt	2650	501	0.060940
(2498,2997)(2500,2999)(2500,3000)	Mt	2750	501	0.060460
(2598,3097)(2600,3099)(2600,3100)	Mt	2850	501	0.056906
(2698,3197)(2700,3199)(2700,3200)	Mt	2950	501	0.063028
(2798,3297)(2800,3299)(2800,3300)	Mt	3050	501	0.064594
(2898,3397)(2900,3399)(2900,3400)	Mt	3150	501	0.060531
(2998,3497)(3000,3499)(3000,3500)	Mt	3250	501	0.060786
(3098,3597)(3100,3599)(3100,3600)	Mt	3350	501	0.061583
(3198,3697)(3200,3699)(3200,3700)	Mt	3450	501	0.056150
(3298,3797)(3300,3799)(3300,3800)	Mt	3550	501	0.053392
(3398,3897)(3400,3899)(3400,3900)	Mt	3650	501	0.053768
(3498,3997)(3500,3999)(3500,4000)	Mt	3750	501	0.053745
(3598,4097)(3600,4099)(3600,4100)	Mt	3850	501	0.052713
(3698,4197)(3700,4199)(3700,4200)	Mt	3950	501	0.055547
